"","clust.iris$k"
"XACT",1
"HELLPAR",2
"CCDC26",2
"HULC",2
"DRAIC",1
"LUCAT1",2
"CASC15",2
"PVT1",1
"FTX",1
"MEG3",1
"NEAT1",1
"TEX41",2
"PWRN1",2
"SILC1",2
"CARMN",1
"DLEU1",1
"CYTOR",1
"CASC19",1
"TTTY14",2
"SAMMSON",2
"PCAT1",2
"CRNDE",2
"HCG18",1
"OLMALINC",2
"DUBR",2
"XIST",2
"AL136171.2",1
"MIAT",1
"HCP5",1
"PURPL",2
"PCA3",1
"CASC2",2
"ERVK13.1",2
"LNC.LBCS",1
"DGCR5",1
"PART1",2
"FIRRE",1
"DLEU2",1
"TCL6",2
"PLAC4",1
"CHROMR",1
"AUXG01000058.1",2
"TTTY10",1
"PRNCR1",1
"PELATON",1
"COLCA1",2
"PANTR1",1
"DANCR",1
"PCAT19",2
"PRANCR",1
"KCNIP4.IT1",2
"DIRC3",2
"MAILR",2
"MALAT1",1
"RMST",2
"HAR1B",1
"PRECSIT",2
"DELEC1",1
"MIATNB",1
"ARLNC1",2
"Morrbid",2
"Rian",1
"Neat1",2
"Meg3",2
"Dbpht2",2
"Xist",1
"Firre",1
"Hdnr",1
"Ftx",2
"Mirt1",1
"Lockd",1
"Miat",1
"Dleu2",2
"Mirg",1
"Jpx",2
"Lncpint",2
"Rmst",1
"Chaserr",2
"Ppnr",1
"Dubr",2
"Pvt1",1
"Malat1",2
"Cep112it",2
"Pantr1",2
"Zfp660",2
"Peg13",1
"Norad",1
"Platr4",1
"Fendrr",1
"Wbscr25",1
"Panct2",1
"Trp53cor1",1
"Nron",2
"Rncr4",1
"Flicr",2
"Pinc",2
"Platr1",2
"Platr21",2
"Nctc1",2
"Etohd2",1
"Carmn",1
"H19",1
"Celrr",2
"Erdr1",1
"Lncenc1",2
"Gas5",1
"Platr9",1
"Etos1",1
"Platr23",1
"Platr32",1
"Mirt2",1
"Mexis",2
"Drr1",1
"Trmt61b",1
"Lncbate10",2
"Crnde",2
"Redrum",1
"Kis2",1
"Dancr",1
"Platr14",1
