"","clust.iris$k"
"XACT",1
"HELLPAR",2
"CCDC26",2
"HULC",1
"DRAIC",1
"LUCAT1",2
"CASC15",2
"PVT1",2
"FTX",2
"MEG3",2
"NEAT1",1
"TEX41",1
"PWRN1",1
"SILC1",1
"CARMN",1
"DLEU1",2
"CYTOR",1
"CASC19",2
"TTTY14",2
"SAMMSON",2
"PCAT1",2
"CRNDE",1
"HCG18",1
"OLMALINC",2
"DUBR",1
"XIST",1
"AL136171.2",1
"MIAT",1
"HCP5",1
"PURPL",2
"PCA3",1
"CASC2",2
"ERVK13.1",1
"LNC.LBCS",2
"DGCR5",1
"PART1",2
"FIRRE",2
"DLEU2",1
"TCL6",1
"PLAC4",1
"CHROMR",1
"AUXG01000058.1",2
"TTTY10",1
"PRNCR1",1
"PELATON",2
"COLCA1",1
"PANTR1",1
"DANCR",1
"PCAT19",1
"PRANCR",1
"KCNIP4.IT1",1
"DIRC3",2
"MAILR",2
"MALAT1",2
"RMST",2
"HAR1B",1
"PRECSIT",2
"DELEC1",2
"MIATNB",1
"ARLNC1",1
"Morrbid",1
"Rian",1
"Neat1",1
"Meg3",1
"Dbpht2",1
"Xist",1
"Firre",1
"Hdnr",1
"Ftx",2
"Mirt1",2
"Lockd",1
"Miat",1
"Dleu2",2
"Mirg",1
"Jpx",1
"Lncpint",1
"Rmst",2
"Chaserr",2
"Ppnr",1
"Dubr",2
"Pvt1",2
"Malat1",2
"Cep112it",2
"Pantr1",1
"Zfp660",2
"Peg13",1
"Norad",1
"Platr4",1
"Fendrr",1
"Wbscr25",1
"Panct2",1
"Trp53cor1",1
"Nron",2
"Rncr4",1
"Flicr",2
"Pinc",2
"Platr1",1
"Platr21",2
"Nctc1",1
"Etohd2",1
"Carmn",2
"H19",1
"Celrr",2
"Erdr1",1
"Lncenc1",1
"Gas5",1
"Platr9",1
"Etos1",2
"Platr23",1
"Platr32",2
"Mirt2",1
"Mexis",1
"Drr1",1
"Trmt61b",1
"Lncbate10",1
"Crnde",1
"Redrum",1
"Kis2",1
"Dancr",1
"Platr14",1
